Id,modularity_class,user_id,user_name,Organization,Catergory_1,Catergory_2,Position,Gender,Race,Past Bio Details,user_description,White Hse?,Correspondent?,Video?,user_urls,Newsroom_1,Newsroom_2,shared past,TV contract?,Radio?,user_statuses_count,user_followers_count,user_friends_count,user_favourites_count,user_listed_count,user_verified,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,betweenesscentrality,clustering,eigencentrality,Authority,Hub,Notes
greta,0,16031927,Greta Van Susteren,MSNBC,Television Network News and Public Affairs,Radio_and_Television,"Anchor, For the Record",F,White,-,Author of book:”Everything You Need to Know about Social Media” Retweets are just retweets;,FALSE,FALSE,FALSE,http://www.greta.com,Fox,VOA,N,Y, ,132669,1215392,2143,12552,9240,TRUE,42,47,89,117,144,261,0.365522,16740.7564,0.148033,0.099662,0.014454,0.033746,"Senate lists says ""Fox News."""
ZekeJMiller,0,21316253,Zeke Miller,Associated Press,Wire Services,Senate_Press_Galleries,White House Correspondent,M,White,-,White House Reporter @AP. Email: zekejmiller@gmail.com Links&RTs≠Endorsements PGP: 7394 F325 15E1 39EF CAF9  C31A 7ED9 D84A A207 DDBF,TRUE,FALSE,FALSE, ,AP, , , , ,165421,209208,5519,39,4018,TRUE,268,36,304,854,88,942,0.343639,14632.49705,0.099029,0.729228,0.12816,0.026938,-
sarahkliff,0,19734832,Sarah Kliff,Vox Media,Digital,Senate_Periodical_Galleries,,F,White,-,"Senior Policy Correspondent @voxdotcom. Host of THE IMPACT, a podcast about how policy affects people. Listen/subscribe to our first season. 👇",FALSE,TRUE,FALSE,http://apple.co/2g66saL,Vox, ,N,N, ,19258,119651,1162,4247,3732,TRUE,34,14,48,78,28,106,0.312724,1769.316764,0.165007,0.037871,0.012408,0.001922,-
BCAppelbaum,0,87271106,Binyamin Appelbaum,New York Times,Newspapers,Senate_Press_Galleries,,M,White,-,A Washington correspondent for The New York Times. Pure applesauce. bappelbaum@nytimes.com  |  Facebook: Binyamin.Appelbaum,FALSE,TRUE,FALSE,http://nyti.ms/l8IIoH,NYT, ,N,N, ,25858,87131,855,2121,2814,TRUE,82,20,102,165,60,225,0.330305,6794.760176,0.103918,0.180851,0.033629,0.012413,"Lists ""Facebook: Binyamin.Appelbaum"""
jeneps,0,45399148,Jennifer Epstein,Bloomberg News,News Magazine,Senate_Press_Galleries,Political Reporter ,F,White,"""Two years on the road covering Hillary Clinton""",White House reporter at Bloomberg News jepstein32@bloomberg.net,TRUE,FALSE,FALSE,http://www.bloomberg.com/politics/authors/ASKmo1LEDZ4/jennifer-epstein,Bloomberg, ,N (Politico),N, ,42428,73486,1572,14,2337,TRUE,152,59,211,385,174,559,0.372306,19469.90072,0.138686,0.460284,0.082985,0.03716,-
StevenTDennis,0,46557945,Steven Dennis,Bloomberg News,News Magazine,Senate_Press_Galleries,Congressional Reporter,M,White,"""Ex-WH, Roll Call, CQ.""","@Bloomberg reporter. I talk to U.S. Senators in hallways. Russia, health, politics. Ex-WH/CQ/Roll Call. Dad. Pie. Opinions mine. Email sdennis17@bloomberg.net",FALSE,FALSE,FALSE, ,Bloomberg, ,N,Y, ,75173,72284,9466,14342,2210,TRUE,237,142,379,1059,724,1783,0.411363,72978.04482,0.109805,0.598227,0.114768,0.091771,"Senate list says ""CQ Roll Call."""
seungminkim,0,19186003,Seung Min Kim,Washington Post,Newspapers,Senate_Periodical_Galleries,,F,White,-,"White House reporter for @washingtonpost, stationed on Capitol Hill. Proud @politico alum. E-mail: seungmin.kim@washpost.com Header: @stephenmally",TRUE,FALSE,FALSE,http://www.washingtonpost.com,WP, ,Y (politico),N, ,40841,58490,1365,13077,1771,TRUE,215,123,338,655,358,1013,0.392488,36681.81419,0.127558,0.653216,0.110752,0.074334,-
jpaceDC,0,28181835,Julie Pace,Associated Press,Wire Services,Senate_Press_Galleries,,F,White,"""Proud Northwestern grad.""",Washington Bureau Chief for The Associated Press. Nine year survivor of the White House beat. Proud Northwestern grad. Long-suffering Bills fan.,TRUE,FALSE,FALSE, ,AP, , , , ,7466,55941,596,446,1924,TRUE,99,17,116,209,45,254,0.30711,7162.97084,0.097921,0.25248,0.042477,0.006534,-
NickTimiraos,0,59603406,Nick Timiraos,Wall Street Journal,Newspapers,Senate_Press_Galleries,,M,White,-,"Economics correspondent, The Wall Street Journal",FALSE,TRUE,FALSE, ,WSJ, , , , ,36698,52214,288,19451,1966,TRUE,62,47,109,279,181,460,0.357143,9926.962526,0.171692,0.175431,0.029745,0.031473,-
BresPolitico,0,217550862,John Bresnahan,Politico,Digital,Senate_Periodical_Galleries,,M,White,-,"Capitol bureau chief for Politico. If you don't like the New York Yankees, there's something wrong with you. Email is jbresnahan@politico.com",FALSE,FALSE,FALSE,http://politico.com,POLITICO, ,N,N, ,54330,50019,1946,30419,1452,FALSE,84,124,208,300,484,784,0.396861,15481.98951,0.169857,0.326496,0.050363,0.080744,-
